date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,23:05:42.546339,5250,2800,2568665.29836381,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.1054633593146
2018-02-28,23:05:50.755708,5500,2800,2258964.06699527,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,1.85160989097973
2018-02-28,23:06:02.441898,5000,2800,2821469.92145841,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.3126802634905
2018-02-28,23:06:12.284180,5250,2800,2513537.05192658,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.06027627207096
2018-02-28,23:06:20.969245,5500,2800,2187412.19859691,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,1.79296081852206
2018-02-28,23:06:34.833090,5000,2800,2813175.49937077,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.30588155686129
2018-02-28,23:06:45.577525,5250,2800,2469356.56859784,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.02406276114577
2018-02-28,23:06:54.898274,5500,2800,2153158.86793739,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,1.76488431798146
2018-02-28,23:07:03.377704,5000,2800,2914043.35949092,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.38856013073026
2018-02-28,23:07:11.623975,5250,2800,2668209.21746524,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.18705673562725
2018-02-28,23:07:19.898416,5500,2800,2376975.3442445,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,1.94834044610205
2018-02-28,23:07:30.338443,5000,2800,2871068.44028206,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.35333478711644
2018-02-28,23:07:40.849457,5250,2800,2608243.93482652,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.1379048646119
2018-02-28,23:07:51.777972,5500,2800,2293127.82524931,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,1.87961297151583
2018-02-28,23:08:02.574583,5000,2800,2831119.94278829,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.32059011703958
2018-02-28,23:08:14.155631,5250,2800,2533381.74426339,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.07654241333065
2018-02-28,23:08:25.778211,5500,2800,2194870.52818293,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,1.79907420342863
2018-02-28,23:08:38.027233,5000,2800,2790494.02016099,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.28729018045982
2018-02-28,23:08:50.388277,5250,2800,2450886.40049562,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.00892327909477
2018-02-28,23:09:02.006772,5500,2800,2059416.55970043,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,1.68804636041019
2018-02-28,23:09:11.108393,5000,2800,2260579.77181527,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.85293423919285
2018-02-28,23:09:21.356642,5250,2800,1943433.94400938,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.59297864263064
2018-02-28,23:09:29.945747,5500,2800,1569898.00904956,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.28680164676193
2018-02-28,23:09:40.509415,5000,2800,2177657.9298995,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.78496551631107
2018-02-28,23:09:51.080540,5250,2800,1837602.79211576,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.5062317968162
2018-02-28,23:10:00.727522,5500,2800,1433936.51403463,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.17535779838904
2018-02-28,23:10:11.272977,5000,2800,2181444.94460031,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.78806962672156
2018-02-28,23:10:21.211042,5250,2800,1821601.22391636,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.49311575730849
2018-02-28,23:10:31.789300,5500,2800,1397127.89187955,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.14518679662258
2018-02-28,23:10:42.259805,5000,2800,2193648.25599419,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.79807234097884
2018-02-28,23:10:53.052216,5250,2800,1824898.64832503,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.49581856420084
2018-02-28,23:11:05.402987,5500,2800,1382828.62222302,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.13346608378936
2018-02-28,23:11:11.964089,5000,2800,2095425.9345529,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.7175622414368
2018-02-28,23:11:23.587639,5250,2800,1907090.55108941,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.5631889763028
2018-02-28,23:11:31.198986,5500,2800,1465526.59521294,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.20125130755159
2018-02-28,23:11:39.017269,5000,2800,1999723.91460383,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.63911796279002
2018-02-28,23:11:47.428481,5250,2800,1500111.05084717,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.22959922200588
2018-02-28,23:11:54.178519,5500,2800,1067226.2523547,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,0.874775616684176
2018-02-28,23:12:02.811314,5000,2800,2002854.30801692,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.64168385903026
2018-02-28,23:12:10.246727,5250,2800,1507712.69244743,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,1.23583007577658
2018-02-28,23:12:17.990066,5500,2800,881848.285991783,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800,0.722826463927691
2018-02-28,23:12:27.875000,5000,2800,2016965.80760653,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.65325066197256
2018-02-28,23:12:34.945136,5250,2800,1491173.68834137,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,1.22227351503391
2018-02-28,23:12:42.998094,5500,2800,765157.334716111,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800,0.627178143209927
2018-02-28,23:12:52.079053,5000,2800,2093603.36002899,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.71606832789262
2018-02-28,23:12:59.989433,5250,2800,1609750.23106216,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,1.31946740250997
2018-02-28,23:13:06.616050,5500,2800,786338.42405047,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800,0.644539691844647
2018-02-28,23:13:15.820927,5000,2800,2012023.13544147,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.64919929134547
2018-02-28,23:13:24.859485,5250,2800,1449610.03642931,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,1.18820494789288
2018-02-28,23:13:30.084840,5500,2800,0,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800,0
